4,200139,0,"2026-05-30 09:16:01.447"
3,200011,0,"2026-05-30 09:16:42.942"
3,200026,0,"2026-05-30 09:17:03.200"
4,200306,0,"2026-05-30 09:17:03.854"
4,200085,0,"2026-05-30 09:17:04.452"
3,200064,0,"2026-05-30 09:17:30.948"
3,200045,0,"2026-05-30 09:17:31.842"
3,200053,0,"2026-05-30 09:17:39.700"
4,200054,0,"2026-05-30 09:17:52.698"
4,200154,0,"2026-05-30 09:18:59.697"
3,200006,0,"2026-05-30 09:20:27.348"
4,200032,0,"2026-05-30 09:21:06.513"
4,200032,0,"2026-05-30 09:21:12.193"
4,200032,0,"2026-05-30 09:21:16.852"
4,200032,0,"2026-05-30 09:21:21.709"
4,200032,0,"2026-05-30 09:21:25.804"
4,200032,0,"2026-05-30 09:21:26.416"
2,200012,0,"2026-05-30 09:21:28.633"
4,200089,0,"2026-05-30 09:21:31.292"
3,200139,0,"2026-05-30 09:28:22.718"
4,200081,0,"2026-05-30 09:28:23.233"
4,200015,0,"2026-05-30 09:28:26.369"
3,200011,0,"2026-05-30 09:28:26.368"
4,200063,0,"2026-05-30 09:28:31.984"
3,200069,0,"2026-05-30 09:28:33.872"
4,200117,0,"2026-05-30 09:28:33.873"
4,200008,0,"2026-05-30 09:28:36.483"
3,200127,0,"2026-05-30 09:28:40.982"
4,200090,0,"2026-05-30 09:28:40.744"
4,200060,0,"2026-05-30 09:28:41.389"
3,200306,0,"2026-05-30 09:28:42.987"
4,200128,0,"2026-05-30 09:28:47.740"
3,200062,0,"2026-05-30 09:28:49.488"
4,200031,0,"2026-05-30 09:28:49.489"
3,200089,0,"2026-05-30 09:28:53.199"
4,200012,0,"2026-05-30 09:28:53.234"
4,200026,0,"2026-05-30 09:28:54.397"
3,200078,0,"2026-05-30 09:29:01.907"
3,200076,0,"2026-05-30 09:29:04.738"
4,200006,0,"2026-05-30 09:29:07.746"
4,200103,0,"2026-05-30 09:29:40.630"
4,200051,0,"2026-05-30 09:29:55.665"
4,200306,0,"2026-05-30 09:31:42.564"
4,200012,0,"2026-05-30 09:31:42.973"
4,200026,0,"2026-05-30 09:31:43.577"
4,200053,0,"2026-05-30 09:31:43.744"
4,200139,0,"2026-05-30 09:31:44.395"
4,200087,0,"2026-05-30 09:31:44.793"
4,200008,0,"2026-05-30 09:31:45.800"
4,200015,0,"2026-05-30 09:31:44.999"
4,200006,0,"2026-05-30 09:31:46.219"
3,200011,0,"2026-05-30 09:31:46.422"
4,200081,0,"2026-05-30 09:31:46.992"
4,200060,0,"2026-05-30 09:31:47.492"
4,200070,0,"2026-05-30 09:31:48.443"
4,200078,0,"2026-05-30 09:31:48.445"
3,200127,0,"2026-05-30 09:31:49.490"
4,200031,0,"2026-05-30 09:31:49.660"
4,200069,0,"2026-05-30 09:31:50.250"
4,200128,0,"2026-05-30 09:31:50.248"
4,200051,0,"2026-05-30 09:31:51.246"
4,200062,0,"2026-05-30 09:31:52.714"
3,200063,0,"2026-05-30 09:31:53.118"
4,200117,0,"2026-05-30 09:31:55.188"
3,200089,0,"2026-05-30 09:31:55.563"
3,200090,0,"2026-05-30 09:31:58.411"
4,200076,0,"2026-05-30 09:32:00.434"
3,200306,0,"2026-05-30 09:55:18.330"
3,200012,0,"2026-05-30 09:55:25.552"
4,200026,0,"2026-05-30 09:55:26.570"
3,200011,0,"2026-05-30 09:57:18.571"
3,200053,0,"2026-05-30 09:57:18.775"
4,200087,0,"2026-05-30 09:57:19.315"
4,200127,0,"2026-05-30 09:57:19.568"
4,200103,0,"2026-05-30 09:57:20.188"
1,200006,0,"2026-05-30 09:57:20.189"
3,200081,0,"2026-05-30 09:57:23.815"
3,200015,0,"2026-05-30 09:58:06.277"
2,200060,0,"2026-05-30 09:58:10.700"
4,200139,0,"2026-05-30 09:58:10.122"
