2,200423,200423,"10:22:40.284",1,2
1,200273,200273,"10:23:07.784",1,1
2,200467,200467,"10:23:38.294",1,2
2,200470,200470,"10:23:41.360",1,2
2,200433,200433,"10:24:04.235",1,2
2,200129,200129,"10:25:24.759",1,2
1,200049,200049,"10:25:30.797",1,1
2,200401,200401,"10:26:28.643",1,2
2,200459,200459,"10:26:45.273",1,2
2,200075,200075,"10:26:46.480",1,2
3,200395,200395,"10:27:02.285",1,3
3,200120,200120,"10:27:11.794",1,3
3,200336,200336,"10:27:18.719",1,3
3,200448,200448,"10:27:19.735",1,3
1,200346,200346,"10:27:40.240",1,1
2,200339,200339,"10:27:51.777",1,2
2,200445,200445,"10:28:15.504",1,2
3,200355,200355,"10:28:29.295",1,3
3,200455,200455,"10:29:22.837",1,3
3,200131,200131,"10:30:22.259",1,3
1,200476,200476,"10:30:22.662",1,1
4,200256,200256,"10:30:39.892",1,4
2,200437,200437,"10:31:28.556",1,2
1,200326,200326,"10:31:43.997",1,1
1,200370,200370,"10:33:03.476",1,1
3,200405,200405,"10:33:54.562",1,3
2,200387,200387,"10:33:54.998",1,2
2,200466,200466,"10:34:18.118",1,2
1,200432,200432,"10:34:30.294",1,1
2,200282,200282,"10:34:30.562",1,2
2,200078,200078,"10:34:57.875",1,2
2,200446,200446,"10:37:41.147",1,2
2,200450,200450,"10:39:15.880",1,2
2,200351,200351,"10:39:23.789",1,2
2,200314,200314,"10:41:03.372",1,2
2,200380,200380,"10:41:23.328",1,2
1,200354,200354,"10:41:23.634",1,1
3,200439,200439,"10:41:47.790",1,3
2,200458,200458,"10:41:50.396",1,2
1,200379,200379,"10:42:56.830",1,1
1,200003,200003,"10:43:50.834",1,1
2,200191,200191,"10:44:20.585",1,2
2,200361,200361,"10:44:35.850",1,2
2,200340,200340,"10:44:36.942",1,2
2,200484,200484,"10:44:37.339",1,2
2,200471,200471,"10:44:37.835",1,2
1,200190,200190,"10:44:43.445",1,1
2,200413,200413,"10:44:43.866",1,2
2,200464,200464,"10:44:44.256",1,2
2,200015,200015,"10:46:38.835",1,2
2,200393,200393,"10:46:46.573",1,2
1,200417,200417,"10:47:13.521",1,1
3,200500,200500,"10:48:07.660",1,3
3,200051,200051,"10:49:29.599",1,3
3,200468,200468,"10:50:23.149",1,3
3,200022,200022,"10:51:39.836",1,3
2,200197,200197,"10:51:50.995",1,2
3,200394,200394,"10:52:07.250",1,3
2,200358,200358,"10:52:09.683",1,2
1,200371,200371,"10:52:09.856",1,1
2,200012,200012,"10:52:14.751",1,2
2,200342,200342,"10:53:52.314",1,2
2,200434,200434,"10:54:43.608",1,2
2,200403,200403,"10:54:55.111",1,2
1,200047,200047,"10:55:31.287",1,1
2,200356,200356,"10:55:33.930",1,2
3,200232,200232,"10:56:05.169",1,3
2,200324,200324,"10:57:20.625",1,2
1,200125,200125,"10:57:41.112",1,1
3,200359,200359,"10:58:14.375",1,3
2,200465,200465,"10:58:57.868",1,2
1,200281,200281,"11:00:17.874",1,1
3,200337,200337,"11:02:32.128",1,3
1,200386,200386,"11:02:32.564",1,1
3,200308,200308,"11:02:50.380",1,3
2,200246,200246,"11:03:06.636",1,2
2,200096,200096,"11:03:12.879",1,2
3,200396,200396,"11:03:44.161",1,3
2,200490,200490,"11:03:44.574",1,2
1,200440,200440,"11:03:53.294",1,1
1,200451,200451,"11:04:50.634",1,1
1,200364,200364,"11:05:46.464",1,1
2,200139,200139,"11:06:29.862",1,2
2,200384,200384,"11:06:33.637",1,2
2,200406,200406,"11:06:34.323",1,2
1,200345,200345,"11:06:34.324",1,1
1,200137,200137,"11:07:32.730",1,1
2,200423,200423,"11:08:02.751",1,2
1,200141,200141,"11:08:11.800",1,1
3,200454,200454,"11:08:28.143",1,3
2,200273,200273,"11:09:45.540",1,2
2,200467,200467,"11:09:48.491",1,2
2,200470,200470,"11:10:13.402",1,2
2,200018,200018,"11:11:15.278",1,2
1,200433,200433,"11:11:17.106",1,1
2,200323,200323,"11:12:26.646",1,2
2,200331,200331,"11:12:42.652",1,2
2,200129,200129,"11:14:00.168",1,2
1,200319,200319,"11:14:27.313",1,1
2,200383,200383,"11:14:31.777",1,2
2,200186,200186,"11:15:11.594",1,2
3,200075,200075,"11:16:02.144",1,3
1,200459,200459,"11:16:02.542",1,1
3,200401,200401,"11:16:37.416",1,3
1,200336,200336,"11:16:39.661",1,1
4,200448,200448,"11:17:31.912",1,4
4,200395,200395,"11:17:38.570",1,4
3,200339,200339,"11:19:59.920",1,3
1,200133,200133,"11:20:40.153",1,1
3,200355,200355,"11:20:48.520",1,3
3,200315,200315,"11:21:05.870",1,3
2,200478,200478,"11:23:38.160",1,2
2,200131,200131,"11:23:48.690",1,2
3,200256,200256,"11:24:33.927",1,3
2,200380,200380,"11:24:45.895",1,2
3,200062,200062,"11:24:53.182",1,3
1,200458,200458,"11:24:54.822",1,1
1,200354,200354,"11:24:59.680",1,1
4,200120,200120,"11:25:13.278",1,4
2,200437,200437,"11:25:18.344",1,2
3,200439,200439,"11:26:13.950",1,3
1,200370,200370,"11:26:31.143",1,1
1,200326,200326,"11:26:36.934",1,1
2,200405,200405,"11:27:19.186",1,2
1,200003,200003,"11:28:43.941",1,1
1,200471,200471,"11:28:44.364",1,1
3,200387,200387,"11:28:44.688",1,3
2,200484,200484,"11:28:58.353",1,2
2,200413,200413,"11:28:58.941",1,2
2,200338,200338,"11:30:12.573",1,2
2,200361,200361,"11:30:22.919",1,2
1,200464,200464,"11:30:35.730",1,1
2,200452,200452,"11:31:24.544",1,2
2,200190,200190,"11:31:41.181",1,2
2,200466,200466,"11:32:53.163",1,2
1,200417,200417,"11:33:35.155",1,1
2,200078,200078,"11:33:58.857",1,2
1,200393,200393,"11:34:01.509",1,1
2,200049,200049,"11:34:54.952",1,2
3,200500,200500,"11:35:28.930",1,3
1,200350,200350,"11:36:44.456",1,1
1,200446,200446,"11:37:16.960",1,1
2,200051,200051,"11:38:38.461",1,2
3,200022,200022,"11:40:28.858",1,3
2,200468,200468,"11:40:28.715",1,2
3,200197,200197,"11:42:02.762",1,3
2,200358,200358,"11:42:15.908",1,2
3,200288,200288,"11:42:22.191",1,3
2,200371,200371,"11:42:25.832",1,2
2,200482,200482,"11:43:30.928",1,2
4,200394,200394,"11:43:44.305",1,4
2,200314,200314,"11:45:10.684",1,2
1,200346,200346,"11:46:16.165",1,1
2,200342,200342,"11:46:19.230",1,2
1,200490,200490,"11:47:03.814",1,1
2,200396,200396,"11:47:04.211",1,2
2,200440,200440,"11:47:18.206",1,2
2,200379,200379,"11:48:41.483",1,2
2,200476,200476,"11:48:46.785",1,2
2,200455,200455,"11:49:17.834",1,2
2,200356,200356,"11:49:30.735",1,2
2,200445,200445,"11:49:32.199",1,2
1,200451,200451,"11:49:54.323",1,1
2,200232,200232,"11:50:10.238",1,2
1,200364,200364,"11:50:16.620",1,1
1,200125,200125,"11:51:04.238",1,1
2,200139,200139,"11:51:07.990",1,2
1,200012,200012,"11:51:08.833",1,1
1,200406,200406,"11:51:14.139",1,1
2,200384,200384,"11:51:19.739",1,2
2,200324,200324,"11:51:52.742",1,2
1,200465,200465,"11:51:53.364",1,1
2,200359,200359,"11:51:56.200",1,2
2,200191,200191,"11:52:58.878",1,2
2,200340,200340,"11:53:21.745",1,2
2,200137,200137,"11:53:46.747",1,2
2,200423,200423,"11:55:09.749",1,2
2,200467,200467,"11:56:55.503",1,2
2,200273,200273,"11:56:58.300",1,2
2,200308,200308,"11:57:29.232",1,2
2,200470,200470,"11:57:55.755",1,2
1,200433,200433,"11:58:49.840",1,1
1,200096,200096,"11:59:05.257",1,1
2,200432,200432,"12:00:02.100",1,2
2,200015,200015,"12:00:51.610",1,2
3,200386,200386,"12:01:47.764",1,3
2,200129,200129,"12:03:37.505",1,2
2,200246,200246,"12:04:00.519",1,2
0,0,0,"12:07:36.283",0,0
2,200448,200448,"12:07:39.425",1,2
2,200401,200401,"12:07:40.207",1,2
1,200336,200336,"12:08:08.870",1,1
1,200141,200141,"12:08:31.388",1,1
2,200380,200380,"12:08:35.845",1,2
1,200282,200282,"12:09:04.687",1,1
2,200458,200458,"12:09:10.568",1,2
1,200354,200354,"12:09:33.880",1,1
4,200395,200395,"12:09:50.946",1,4
3,200439,200439,"12:11:47.651",1,3
2,200351,200351,"12:12:00.170",1,2
2,200339,200339,"12:12:16.864",1,2
2,200434,200434,"12:13:19.464",1,2
1,200413,200413,"12:14:14.712",1,1
2,200484,200484,"12:14:15.465",1,2
3,200403,200403,"12:14:29.216",1,3
3,200471,200471,"12:14:32.714",1,3
1,200003,200003,"12:14:38.200",1,1
4,200355,200355,"12:14:46.547",1,4
2,200047,200047,"12:15:02.467",1,2
1,200345,200345,"12:16:33.647",1,1
2,200361,200361,"12:16:51.341",1,2
2,200120,200120,"12:16:58.720",1,2
2,200131,200131,"12:17:37.222",1,2
2,200450,200450,"12:17:42.957",1,2
1,200464,200464,"12:17:53.723",1,1
2,200323,200323,"12:18:00.645",1,2
1,200437,200437,"12:18:42.472",1,1
2,200190,200190,"12:18:47.337",1,2
4,200256,200256,"12:19:28.227",1,4
1,200370,200370,"12:20:32.229",1,1
2,200417,200417,"12:20:52.981",1,2
1,200326,200326,"12:21:55.483",1,1
2,200405,200405,"12:21:56.499",1,2
1,200393,200393,"12:22:17.733",1,1
2,200383,200383,"12:22:26.798",1,2
2,200281,200281,"12:23:19.946",1,2
3,200500,200500,"12:23:22.171",1,3
2,200387,200387,"12:24:35.610",1,2
2,200186,200186,"12:24:44.491",1,2
